,time,trip_id,route_id,geometry,direction_id
0,01:00:00,A20171105WKD_000100_2..S08R,2,POINT (-74.00099693501713 40.73672468480159),1.0
5,01:00:00,A20171105WKD_002100_2..S08R,2,POINT (-73.9571461800105 40.79746798628413),1.0
6,02:00:00,A20171105WKD_002100_2..S08R,2,POINT (-73.95007353553819 40.65547658870623),1.0
14,01:00:00,A20171105WKD_004100_2..S08R,2,POINT (-73.88921477048071 40.8349131136728),1.0
15,02:00:00,A20171105WKD_004100_2..S08R,2,POINT (-73.98325016366682 40.68981832879788),1.0
24,02:00:00,A20171105WKD_006100_2..S08R,2,POINT (-74.00099693501713 40.73672468480159),1.0
30,02:00:00,A20171105WKD_008100_2..S08R,2,POINT (-73.9571461800105 40.79746798628413),1.0
31,03:00:00,A20171105WKD_008100_2..S08R,2,POINT (-73.95007353553819 40.65547658870623),1.0
40,02:00:00,A20171105WKD_010100_2..S08R,2,POINT (-73.88921477048071 40.8349131136728),1.0
41,03:00:00,A20171105WKD_010100_2..S08R,2,POINT (-73.98325016366682 40.68981832879788),1.0
55,03:00:00,A20171105WKD_012100_2..S08R,2,POINT (-74.00099693501713 40.73672468480159),1.0
64,03:00:00,A20171105WKD_014100_2..S08R,2,POINT (-73.9571461800105 40.79746798628413),1.0
65,04:00:00,A20171105WKD_014100_2..S08R,2,POINT (-73.95007353553819 40.65547658870623),1.0
78,03:00:00,A20171105WKD_016100_2..S08R,2,POINT (-73.88921477048071 40.8349131136728),1.0
79,04:00:00,A20171105WKD_016100_2..S08R,2,POINT (-73.98325016366682 40.68981832879788),1.0
95,04:00:00,A20171105WKD_018100_2..S08R,2,POINT (-74.00099693501713 40.73672468480159),1.0
104,04:00:00,A20171105WKD_020100_2..S08R,2,POINT (-73.9571461800105 40.79746798628413),1.0
105,05:00:00,A20171105WKD_020100_2..S08R,2,POINT (-73.95007353553819 40.65547658870623),1.0
118,04:00:00,A20171105WKD_022100_2..S08R,2,POINT (-73.88921477048071 40.8349131136728),1.0
